用户名,时间,内容,点赞量,sentiment,sentiment_class
肉包纸0417,2021/5/21 18:09,不知道你这个评论能存在多久，我刚才在楼上热评发秒被删。对了，我不止讲了偷国，还讲了霓虹一个教人穷游巴基斯坦的博主。,265,0.046734043,非常消极
我家肖战爱窜稀,2021/5/22 9:47,回复 @肉包纸0417 :敏感词或者字数过多触发了机制罢了，某卢小说网，曾经被阅文搞到连“有的”、“一个”、“那个”都被迫列入h色敏感词库,22,0.967077609,非常积极
神奇的隔壁阿伟,2021/5/21 16:24,每个国家都有好人也有坏人，不过看事也不能忽略宏观，美国确实有好人，但改变不了美国整体反华氛围的事实，巴基斯坦也有坏人，同样改变不了巴基斯坦整体亲华氛围的事实,10040,0.999999994,非常积极
银庭SilverCourt,2021/5/21 16:28,分析到位,43,0.957254219,非常积极
任我飞天,2021/5/21 16:55,每个国家都会有好人，除了……我是说，甚至包括美国,220,0.989464637,非常积极
狮子粉小初粉,2021/5/22 0:37,回复 @任我飞天 :yes prime minister,8,0.05267923,非常消极
枫者,2021/5/21 17:10,在哪儿看的一段子来着，巴网友发推说有韩国人冒充中国人并问怎么区分，本子那边儿的人回复“把泡菜扔地上喂狗，哈哈大笑的是中国人，跑过去和狗抢着吃的是韩国人”,6896,0.046996653,非常消极
_你怎么这么好看,2021/5/21 17:29,好家伙这不把棒子整破防了,393,0.337851016,较为消极
枫者,2021/5/21 17:50,回复 @信阳精神病院院长- :棒子看见又要大喊大叫了,111,0.555873611,中立
回笼觉教主税易天,2021/5/22 9:50,"暗号
巴基斯坦：亲兄弟
中国人：明算账",4572,0.939011235,非常积极
盛京徐公,2021/5/22 11:47,对 咱们就是喜欢亲兄弟明算账  不伤感情,77,0.932495845,非常积极
z24826,2021/5/22 18:45,,6,,非常消极
P-dove,2021/6/21 20:48,预防日韩冒充中国人的行为,9,0.827167136,非常积极
小李砸er,2021/5/21 17:56,说实话，我对巴基斯坦人十分有好感。我之前在圣诞节假期去布拉格玩，住的青旅旁边有家超市的老板就是巴基斯坦人，当他知道我是中国人的时候很热情，对我说了很多遍“Chinese my best friend ”就感觉很开心,3678,0.999948334,非常积极
电波糖,2021/5/21 18:46,真好啊！我也想去巴基斯坦旅游,17,0.830359005,非常积极
被熊猫治愈的男人,2021/5/21 20:11,中国和巴铁用事实证明在这个世界上 国与国之间是可以存在友谊的。国与国之间并不是只有利益和敌对,81,0.9999551,非常积极
郭天2020,2021/5/24 15:04,回复 @栗若瑶 :前两年反正说是巴不建议中国人来旅游，因为巴挺乱的，不希望中国人来之后发生意外，等以后安全一些了，会很欢迎的。现在，不知道什么情况了。,279,0.993098345,非常积极
啊胜168,2021/5/21 18:35,中国人喜欢以礼待人，尊重对方，所以大部分脸很柔和，微笑面对。日韩我影响里都把自己当啥似的，有点面瘫，紧绷的要死,2818,0.993521124,非常积极
胡彦斌我好想哭,2021/5/23 23:11,可恶居然敢直接说出来，这要是。。。。。你不得私信被冲烂,76,0.116167219,非常消极
啊胜168,2021/5/25 8:18,回复 @oiine :只要不碰厨或者饭圈，都挺理智的大家,38,0.082545297,非常消极
rrrRRrrryYY11,2021/11/21 11:20,你的评论我喜欢，你的私信记得关,32,0.955940904,非常积极
梦泉晚霞,2021/5/22 20:05,中国真的和世界格格不入啊，我不敢想象，世界上所有的人都像中国人一样，该是怎样的太平盛世，也许，只有中国模式才是真正的地球模式吧,2479,0.999999072,非常积极
moccadoll,2021/5/24 22:30,"是的！现在无比确信！
虽然说不能感谢新冠，但也能算祸兮福之所倚！",112,0.94396732,非常积极
我赌你的瓜没我的大,2021/5/25 15:38,指望全球统一模式/太平算奢望了吧，而且人类文明发展的步伐也很可能放缓。在我看来，和平就是个珍贵的龟壳（既保护你也限制你），适时适当的文明对冲和交流才能突破文明自身的枷锁，让人类发展的更快。谁知道人类未来会有什么样的对手。,62,1,非常积极
金色小鱼xyz,2021/5/26 4:00,回复 @我赌你的瓜没我的大 :希望以后国家间良性竞争而不是恶性竞争,36,0.891653265,非常积极
兰舟不是兰州,2021/5/22 12:43,是《远方的家》！！这个栏目好好的学地理知识的起源点！,431,0.99940815,非常积极
看落叶的麻雀,2021/5/23 0:42,这个节目我从小看到高中住校（看不了了），充满回忆啊！,1,0.985153625,非常积极
兰舟不是兰州,2021/5/27 12:53,回复 @还有敬亭山 :安抚安抚。我之前搜过，b站上有搬运。,0,0.895801547,非常积极
去nm的yxh,2022/5/8 21:11,姐妹你ID瞩目,0,0.284179858,较为消极
岁月的剪辑师,2021/5/22 11:51,不要把别人的热情当作理所当然，互助互爱才是yyds.,1596,0.983873361,非常积极
冲上云霄March,2021/5/27 21:02,对滴，我们是礼仪之邦,7,0.50951717,中立
是风的呢喃,2021/11/7 17:17,单方面的友谊是脆弱的,3,0.980931403,非常积极
黑兔小白,2022/2/7 17:43,对滴,0,0.535714286,中立
杨雪舞爱吃鸡,2021/5/21 16:30,小心Korean,952,0.228283568,较为消极
司马懿----仲达,2021/5/21 17:04,韩国人还假装中国人去巴铁饭店里面白吃白喝，还有小日本，可给我恶心坏了,127,0.118115868,非常消极
淡蓝色的派蒙,2021/5/21 17:22,还有小日本,10,0.741947788,较为积极
gl丶hf,2021/5/21 17:25,回复 @司马懿----仲达 :我去，恶心人的本事赶紧申遗,16,0.036112721,非常消极
城南旧事狗与少年,2021/5/21 16:24,这个小哥比我帅一点,569,0.413685074,中立
獾院小天才,2021/5/21 16:54,帅亿点,10,0.946186456,非常积极
央视频,2021/5/21 17:01,只是帅亿点吗,84,0.480549541,中立
小二灬来碗面,2021/5/22 16:13,回复 @央视频 :得寸进丈,11,0.602194465,较为积极
2024_天下大同,2021/5/22 11:03,唯一区别就是，中国人不论什么都不会占兄弟便宜。买卖都要给钱,363,0.144487514,非常消极
辣椒上头,2021/5/22 8:38,只有巴铁把中巴友谊写进了教科书，也就是说，从小到大都是听中国人是我们的铁哥们，哥哥，弟弟长大的。,254,0.999978431,非常积极
白色落日と,2021/5/21 16:17,巴铁友谊天长地久,195,0.992892997,非常积极
夜夜至天明,2021/5/21 16:30,希望有机会去巴基斯坦的国人能展现出我们的精神面貌和热情,183,0.999654788,非常积极
衡山后学有礼了,2021/5/21 16:27,咱们有个伙伴不容易  不管🇵🇰是真心还是假意先好好处着准没坏处,182,0.100567304,非常消极
吹灭小山河---,2021/5/21 18:20,最先在国际上面承认中国的国家之一，中国永远不会忘记巴铁的挺身而出，巴铁也一定不会忘记兔子一直以来的帮助,37,0.999016079,非常积极
无止境电台更新了吗,2021/5/21 16:34,真没必要多么“受欢迎”，大家能友好交互，平等友爱就足够了,499,0.970283862,非常积极
可藥C,2021/5/21 16:55,这是人们自发的感谢，就像我们也会在苏联一开始援助我们的时候感激他们一样，人之常情,160,0.996808816,非常积极
我在这里患过伤风,2021/5/21 22:48,"你是以什么身份什么立场来这里说“没必要”？
我们中国人受欢迎，看起来你很难受啊。",49,0.106947164,非常消极
心不在妞,2021/5/27 9:58,回复 @我在这里患过伤风 :确实没必要，我们对外的中心思想是:平等，互重，友善。,5,0.848467751,非常积极
不理不理b,2021/5/21 16:33,十分钟，我要这个记者小哥的全部信息。,84,0.86569574,非常积极
Go_Getter7,2021/5/21 18:22,找到了！他叫孙亚鹏现在还是90后帅气、阳刚的小哥哥,7,0.737277815,较为积极
不理不理b,2021/5/21 19:18,回复 @Go_Getter7 :爱了爱了，微博照片更多，还有很多吃相不佳的照片。,3,0.903147016,非常积极
_-西门大官人,2021/5/21 23:42,比那些流量鲜肉看着顺眼好看多了…笑容阳光温暖可爱，还有阳刚之气…,3,0.986777835,非常积极
童画画画,2021/6/10 1:07,我的朋友在巴基斯坦造铁路，他跟我说巴基斯坦的人每天24小时拿着ak保护他们。,9,0.934413582,非常积极
s1mple丿念情,2021/5/25 8:42,衣服上那么大个cctv还用问怎么认出来的吗,53,0.305008562,较为消极
突然就打了个喷嚏,2021/5/21 16:56,系不系，有一种C位出道的赶脚？！,55,0.114040665,非常消极
校尉officer,2021/5/21 16:19,内宣，外宣搞起来,48,0.198089272,非常消极
我在这里患过伤风,2021/5/21 22:50,非常好的国家友谊，希望能够一直持续。 同时也要警惕棒子和倭国的龌龊行为。,37,0.999525461,非常积极
鼓上百合,2021/5/21 18:33,翻译会中文为啥还要用英语,6,0.029749962,非常消极
改名我要中奖啊啊啊啊,2021/5/21 16:41,一直感觉韩国日本人长得有点贼眉鼠眼的,6,0.598326982,中立
糊鹿娃什么时候进监狱,2024/2/25 13:20,对啊，人丑心也丑,0,0.360359332,较为消极
仰天长啸出门去,2021/5/21 16:18,哦，老铁,32,0.629763892,较为积极
末雪冬望,2021/5/21 16:21,珍惜这份友谊,0,0.99161376,非常积极
開人,2021/5/28 18:54,有些巴基斯坦的网友问现在为什么回不了中国毕业？,8,0.625112249,较为积极
愤怒的孤独,2021/5/21 18:54,好想去巴基斯坦旅游一次啊,30,0.795177395,较为积极
大懒练木兰,2021/10/31 20:30,我就不想去巴基斯坦旅游，我怕他们给我免单，本来是想去照顾一下兄弟的生意，结果反而让兄弟自掏腰包请我吃喝这叫什么事儿啊,7,0.018862044,非常消极
范远飞,2021/5/21 16:28,摄像师:,5,0.5,中立
复仇游走,2021/5/22 11:30,"纯粹主观个人的看法，国家之间，没用永远的敌人，也没有永远的朋友。现在有多热情，在那天变成敌人的时候，落差就会有多大。如果说为什么不希望你太过热情，就是怕翻脸的时候有多么的痛心。
对于人性我持悲观的态度，绝大多数的人性都经不起考验。",91,0.99995566,非常积极
JJ狼狼,2021/5/22 13:17,继续保持，你将超越一切,58,0.88372093,非常积极
甜腻小白粥,2021/5/22 16:29,回复 @JJ狼狼 :哈哈哈哈哈哈哈,9,0.985742919,非常积极
午睡教教主,2021/5/23 7:31,说一些普世通用大道理一副众人皆醉我独醒的样子是不是感觉自己特别牛掰,67,0.524497574,中立
piapia涯涯,2021/6/5 19:59,"只有永远的利益，没有永远的朋友。
但现在是朋友就够了，总比现在是敌人要更好。",5,0.997429465,非常积极
晚风之忆,2021/5/22 9:46,中国人不喜欢占朋友便宜,25,0.866641595,非常积极
悠夜粟,2021/5/23 13:02,怎么说呢，还是让我有了更多的，来源于国家带给我的自豪感和荣誉感，我为自己是中国人而骄傲,24,0.999611972,非常积极
西北小韩,2021/5/22 9:37,为什么是2016,3,0.5,中立
鬼魔妖怪快离开,2021/5/21 17:37,这个记者小哥哥真的帅,24,0.996601062,非常积极
AVICX,2021/5/21 16:42,这集我几年前看过,3,0.784182686,较为积极
一念行者一,2022/12/19 23:55,当一个国家把教育都带上了中国，就知道这是对中国有多深的友谊了,3,0.999535147,非常积极
朕的大清亡啦我天啊,2021/5/22 10:03,勾肩搭背的，哈哈哈哈,24,0.869765965,非常积极
闲鸦石,2021/5/22 7:38,巴基斯坦1亿人口，街头采访取样5个人，比例感人。类似的题材自媒体都淘汰几年了，营销号一般都懒得用了。,13,0.898626341,非常积极
竹竿捅飞机,2021/5/24 10:23,二级号出来瞎蹦跶啥,0,0.682606807,较为积极
梦幻网咔,2024/3/21 16:51,2.几亿呢，多的吓人,0,0.207168883,较为消极
割稻,2021/5/21 16:48,小日本虚伪脸长年累月的扮笑贼眉鼠眼且僵硬，韩棒子整容脸,28,0.017093071,非常消极
凡事总有开始,2021/5/26 0:49,天天都是巴基斯坦认中国人，可以告诉我怎么认出巴基斯坦人吗,4,0.989247413,非常积极
温婉贤淑夏金桂,2021/5/21 17:00,呵……看巴基斯坦那些年轻人，尤其是“有知识”的那些学生，啧啧，对中国的看法简直了……,43,0.996118857,非常积极
拉顿哈杰顿,2021/5/22 23:34,官方号也吹，真的没必要。,9,0.096329238,非常消极
凡为鬼厉,2021/6/14 19:20,🤫,0,0.5,中立
十步-杀,2021/5/22 10:56,之前云南那边一个研究所一个巴基斯坦的睡了好些女的，知道吧，大家可以去查查,48,0.536184279,中立
春困秋乏夏彦,2021/5/22 11:48,这两者之间没有太大关系吧？这是好人坏人的区别，不是国籍问题( ´_ゝ｀),60,0.733845551,较为积极
余笙cyk,2021/5/22 12:35,每个国家都有人渣，不能这么以偏概全，一楼说的就很好,33,0.688192688,较为积极
甜腻小白粥,2021/5/22 16:28,回复 @春困秋乏夏彦 :对，巴铁知道了肯定也会谴责这个个例的！,8,0.882739608,非常积极
言湫有莯,2021/5/27 8:10,巴铁人确实不错，我在加拿大留学打Uber做过两个巴基斯坦人的车，知道我是中国人之后特热情，跟我聊天给我零食，搞得我都有点不好意思了,2,0.997837099,非常积极
Soso1234567_77,2021/5/22 19:18,这位记者先生好帅啊,23,0.911978107,非常积极
清清玉蘭,2021/6/16 10:15,CCTV-4记者孙亚鹏，微博抖音皆有,2,0.381883734,较为消极
Kosetoです,2021/5/22 10:09,官方这么宣传，不好吧,36,0.057071198,非常消极
梦醒三年007,2021/5/22 23:38,不用宣传，我有一个巴基斯坦的朋友，他确实对中国人很热情,12,0.946923512,非常积极
Kosetoです,2022/5/26 18:23,回复 @梦醒三年007 :这是看人的，哪里都有好人和坏人，这一年期间，在巴基斯坦的中国人，光是报道出来的就死了多少？,3,0.99424524,非常积极
幻想都是梦,2021/5/22 9:35,这精神面貌不知比隔壁好太多,14,0.245055784,较为消极
_-西门大官人,2021/5/21 23:37,小哥好帅啊，笑容可爱温暖阳光…,21,0.989199682,非常积极
上清真境玉宸道君天尊,2021/5/21 17:15,一带一路万岁,15,0.657350815,较为积极
河里飞zz,2021/5/21 16:39,主要记者还是个帅哥，更受欢迎了,23,0.970192558,非常积极
三万琉璃丶,2021/5/21 16:31,巴中友谊天长地久,2,0.995537166,非常积极
原来是兮兮,2021/5/21 16:24,前排,2,0.5,中立
自由luo-体,2022/12/11 15:44,"哈哈哈哈哈想当明星吗？
巴铁：来我这儿",2,0.983954782,非常积极
粉色精灵kitty,2022/6/12 0:06,有一次我在日本 遇到了一个巴铁，他一直和同行的日本女生说“we are friends”，还过来和我拍照,2,0.846196569,非常积极
不结金丹不改名,2022/2/28 15:55,我有幸和我弟去过一次巴铁，我感觉巴铁兄弟比我喜欢我弟弟多了，同样，我弟也这么感觉,2,0.989907259,非常积极
oO已寄勿扰Oo,2022/2/22 16:17,如果各位有机会去巴基斯坦旅游，记住，一定不要消费友谊,2,0.937581563,非常积极
灵虎-,2022/3/21 17:10,中国人不仅仅是中国国籍的人，更是一种精神，站在那里散发出中国人的气质,9,0.99952431,非常积极
增重不达20斤不改名,2021/5/21 18:53,别把人骗过去了，人其实跟阿三差不多 毕竟一个种族的，国家之间互相有利益还算不错，什么朋友算了，假的。,7,0.996551331,非常积极
洛小淦,2021/5/21 17:03,那我们讲方言他们能认识吗,9,0.565756249,中立
-记住了吗-,2021/5/21 16:17,我是第一吗？真的是第一吗？,5,0.656133388,较为积极
李梅烧烤暖人心,2021/5/21 16:53,😅,4,0.5,中立
圣母悲,2021/11/23 11:55,一起赚小钱钱呀！,1,0.142772754,非常消极
大浪淘金不是沙ovo,2021/11/6 15:56,巴铁,1,0.882977551,非常积极
rose614,2021/6/10 10:05,这个中国小伙子 长得真的好端正！,1,0.926942199,非常积极
账号已注销,2021/6/6 10:30,中巴友谊万岁!,1,0.964983965,非常积极
三鹿妈妈,2021/6/5 10:39,"对口号啊，巴基斯坦：奇变偶不变
中：符号看象限",1,0.617964205,较为积极
托塔天王有塔啊,2021/5/30 4:35,这个记者好帅！！！,1,0.698664907,较为积极
读书的李永康,2021/5/27 8:17,问二战转折点，区分,1,0.560830454,中立
spike666666,2021/5/23 4:52,希望把铁别被个别棒子和鬼子骗到了啊~~,1,0.052456851,非常消极
账号已注销,2021/5/22 9:32,谢谢巴巴羊,1,0.84060394,非常积极
IVSTITIA,2021/5/22 9:29,Chin-Pakistan dosti zindabad,1,0.447678459,中立
是一个强者,2021/5/21 20:47,当然是看脚底板啦：左脚3D，右脚打印。,1,0.051749371,非常消极
-chaoshy-,2021/5/21 19:13,小哥被迫营业,1,0.840472384,非常积极
肥牛旋风丶,2021/5/21 18:16,侣行警告⚠️,1,0.228824543,较为消极
繁星桑原,2021/5/21 16:44,希望中巴友谊长存,1,0.992266788,非常积极
jjkkkkksa,2021/5/21 16:38,小哥哥好帅啊，我可以惹,1,0.985889964,非常积极
葭月十肆,2021/5/21 16:31,中巴友谊万岁,1,0.964983965,非常积极
与世无争大贤者,2021/5/21 16:21,,1,,非常消极
巡礼钟声绝响,2021/5/21 16:19,哈哈哈,1,0.868421053,非常积极
莫咖啡馆的屑店长,2021/5/21 16:18,中巴友谊长存,1,0.964983965,非常积极
-记住了吗-,2021/5/21 16:18,热的,1,0.315696649,较为消极
泯夜归尘,2023/9/23 15:05,中巴友谊万岁！,1,0.964983965,非常积极
烟雨南朝梦,2023/6/28 21:27,巴基斯坦是举国之力帮助中国 虽然对于中国这个巨无霸杯水车薪 但自己有10块钱能把10块钱都给你 真的不容易  巴基斯坦所有战略储备啊,1,0.994392008,非常积极
忍淚等雨下,2023/9/5 6:49,6,0,0.389948007,较为消极
99岁桥洞抹泪,2023/5/6 20:51,这记者长相就很正，一看就是中国人的味道，大约是中国偏山东地区的男性标准长相,1,0.999930688,非常积极
小小氵完熊,2022/8/7 8:55,记者好像陆小千，但是比陆小千还要帅,1,0.998225557,非常积极
御坂妹妹最爱了,2022/3/26 14:15,社恐狂喜,1,0.163678652,非常消极
温斌Alex,2022/3/19 19:55,"巴基斯坦整体亲华
美国整体反华

你让我怎么选",1,0.991715731,非常积极
事到如今-先吃饭吧,2022/3/8 21:03,那我们去吃饭可不可以免单啊，思密达,1,0.081321176,非常消极
FBI客卿,2022/3/6 22:39,巴基斯坦的男性五官都很端正啊 感觉长得都一样,1,0.949575223,非常积极
大爱仙尊-蛊,2022/3/1 19:45,在非洲感觉也很受欢迎，跟大熊猫一样,1,0.869873154,非常积极
bili最不正经用户_0x24,2021/5/22 8:37,"小心网上，有cia的人分裂中国人对巴基斯坦的好感。这种写中文的但实际可能根本就不是中国人的要小心！
这种人的论调无一例外就是巴基斯坦怎样怎样中国人，美国又怎样怎样中国人。总之抹黑巴基斯坦，赞美美国！",2,0.994770019,非常积极
老司畸,2023/8/25 20:43,现在有些日韩的油管之类的博主去巴基斯坦假装我们，骗吃骗喝用来达到节目效果，完了还嘲笑他们分不清。可恶至极！,2,0.052930497,非常消极
carlogambino,2021/5/21 16:21,,5,,非常消极
三岁小师妹,2021/5/21 16:31,,0,,非常消极
美梦现实,2021/5/21 16:30,,0,,非常消极
花生白糖饼,2021/5/21 16:38,,0,,非常消极
我吃小孩,2021/5/24 10:20,真是不记得前两年因为和巴基斯坦妇女结婚而以拐卖妇女罪被抓的上百个中国男人了么,3,0.978160489,非常积极
傻大观,2021/5/25 8:57,宣传问题，这个新闻只凸显了“好”,2,0.479417236,中立
绝命毒师66,2021/5/21 17:28,有意思吗？说的好听就是友谊其实不就是利益关系吗巴基斯坦就没有亲美的吗？换个总体亲美打你央视的脸啥话别说太满,3,0.9883993,非常积极
sout-lucky,2021/5/21 17:32,对呀，应该在他和中国关系好的时候，上去给他一巴掌，然后给他说你这是为了利益。最后沾沾自喜的看他跑到别人的阵营。,7,0.591736183,中立
长乐未央睡饱饱,2021/5/21 17:08,网上碰见很多自称巴基斯坦的 各种要要要，除了要东西加个pls没别的话,1,0.11771279,非常消极
彭的一下,2021/5/21 16:17,第一？？？？,1,0.171232999,非常消极
喜多郎1,2023/6/10 23:05,中巴友谊万岁,1,0.964983965,非常积极
忍淚等雨下,2023/9/5 6:49,小丑,1,0.5,中立
爷的昵称值6个币,2023/9/19 21:45,害😓,0,0.213253825,较为消极
大唐虎衛軍,2021/11/7 7:43,傻子还是很多的,1,0.453283492,中立
bili_4653598659,2021/6/3 20:19,有距离感的关系不错就挺好，前提是你别过来,1,0.992454281,非常积极
蜀道山的坐忘道长,2021/5/21 22:38,风风雨雨七十年,1,0.597025143,中立
AXin义马大,2021/5/21 17:50,都是政治,1,0.846833066,非常积极
原来是神明阿,2022/1/22 18:02,加油哈,0,0.904761905,非常积极
凡尘su子,2022/1/10 20:27,主要是你们有很多摄像机！,0,0.362245717,较为消极
鱼板还是御坂,2022/1/15 15:32,看看前排评论吧,0,0.366593146,较为消极
火辣又能打,2022/1/6 4:02,,0,,非常消极
南方的_白鸽,2021/12/30 5:10,希望不要有人因为这个去混吃混喝,0,0.186533122,非常消极
鱼板还是御坂,2022/1/15 15:33,已经有韩国日本人冒充中国人免单了,0,0.452057111,中立
潜水的小红球,2021/12/29 17:01,巴铁：老铁，一起合影？,0,0.722277809,较为积极
anjing004715,2021/12/21 22:32,只要友善我们都是一家人,0,0.817512886,非常积极
SpinousCrown,2021/12/19 22:09,好可爱,0,0.878967658,非常积极
有趣的范范,2021/12/10 13:16,疫情过去了也去巴基斯坦旅个游,0,0.797225567,较为积极
好烦啊改啥id,2021/11/21 12:32,目标一致 合作共赢,0,0.635925505,较为积极
肖斗斗,2021/11/3 18:29,主持人好帅,0,0.536506636,中立
夜灬若殇丶轩,2021/11/1 21:03,吴语分不出  。。。,0,0.252846358,较为消极
浮川の,2021/10/13 1:40,嗨，兄弟跳一曲？,0,0.046104324,非常消极
Raymond丨丨,2021/8/2 7:27,你们这些宣传媒体真的不干人事，给同胞洗脑让同胞被坑,0,0.00163434,非常消极
许小球儿,2021/6/19 13:24,希望巴铁能早日实现户户通路停电通水通网络,0,0.043986763,非常消极
揍她,2021/6/18 13:07,巴基斯坦是中国的好哥们，巴基斯坦人不一定是中国人的好哥们，记住这个就好,0,0.994676229,非常积极
激萌阿虎V3,2021/6/18 1:19,小心日本韩国冒充中国人搞坏名声,0,0.006223885,非常消极
阿福·吐槽·潘尼沃斯,2021/6/16 21:51,听到英语还是挺膈应,0,0.72393733,较为积极
卡丘丿,2021/6/14 10:50,中巴 友谊永存,0,0.986087271,非常积极
小蕊蕊蕊蕊蕊,2021/6/13 3:13,真好！！！,0,0.312201935,较为消极
轻弹剑锋,2021/6/12 12:30,同样是给予帮助，海那边的人怎么偏偏就是白眼狼呢,0,0.919690622,非常积极
张毛毛不吃胡萝卜,2021/6/9 18:58,小哥哥好帅,0,0.966781216,非常积极
豪哥哥哥GEGE,2021/6/9 16:39,巴基斯坦有什么旅游景点么？,0,0.748125759,较为积极
梨桃花,2021/6/7 19:41,铁子,0,0.5,中立
Song卡比巴拉,2021/6/6 16:21,pak cin dosti 辛巴达接受了别人小恩小惠，回礼不回，这句都不说的，棒子鬼子无疑了,0,0.447054297,中立
Toothy_888,2021/6/4 21:08,看脸我可能看不出来，但胸口上那个CCTV4远方的家可就太明显了。,0,0.475096474,中立
神农小,2021/6/4 2:57,小哥哥处对象吗,0,0.993935111,非常积极
在他脑海中奔跑,2021/6/3 18:06,记者小哥是谁啊？好帅啊,0,0.899152225,非常积极
华为手机保资料跑密码,2021/5/30 15:59,去偏僻的地方你就知道有多好了,0,0.215495343,较为消极
庄易易易易易先生L,2021/5/30 13:36,中巴70,0,0.647466692,较为积极
毛绒玩偶眼镜水泥猫,2021/5/29 20:20,真的好热情啊啊啊！我好爱中国！！！！,0,0.924946512,非常积极
小汤圆,2021/5/29 12:31,中国人会直接勾肩搭背,0,0.883438901,非常积极
GwenFans,2021/5/29 11:41,国人大多都是互利互惠礼尚往来的。就算我们真的没给钱，我们也是会拿出点小玩意去互换的。,0,0.307415756,较为消极
天数-,2021/5/29 10:49,其实中国百姓也是大多数都很热情，友善的！但对于诋毁我们种族除外！不论肤色,0,0.998846608,非常积极
我沉海里,2021/5/29 6:21,泪目了,0,0.750062423,较为积极
竹马老六,2021/5/26 16:37,还是巴巴羊可爱,0,0.937868462,非常积极
乔克丽特小姐,2021/5/26 10:01,快进到两国人民联姻,0,0.784530249,较为积极
眨眼雪鼠的佣兵,2021/5/25 21:39,他们会给我们免单有一些店，然后棒子就跑去装中国人去白嫖，只要特别强调自己是中国人的一般都是棒子,0,0.231832705,较为消极
一只手拎起来,2021/5/25 19:11,我记得有个骑摩托车的去巴基斯坦，结果他们直接给俩把AK用来防身,0,0.811397846,非常积极
实操两年半,2021/5/24 23:18,怎么都是男的,0,0.590773992,中立
OK了功夫,2021/5/24 23:05,巴子是看我们喜欢拍照，然后觉得一起拍照是表示友好的意思，是这样吗,0,0.752187483,较为积极
MiaSanMia丶FCB,2021/5/24 11:38,远方的家是个好节目啊，我特喜欢。边疆行，百川百山行，长城内外，视频里的一带一路，最近出的大运河系列。我每一集都看过。。。,0,0.999895277,非常积极
理塘唯一之神丁真,2021/5/23 20:44,巴基斯坦是说英语的国家吗,0,0.78711059,较为积极
平成宅叔,2021/5/23 13:38,记者说标准的中国人长相,0,0.989940555,非常积极
村东头马老汉,2021/5/22 23:13,授人以鱼不如授人以渔，希望国家能帮巴铁铲除恐怖势力，大力发展经济。,0,0.991247451,非常积极
四千年第一肥美,2021/5/22 15:15,我觉得还有一个原因是主持人相当帅气,0,0.917209229,非常积极
李家篮子,2021/5/22 14:37,这小哥好帅！,0,0.473767218,中立
奥德赛海洋学院,2021/5/22 12:23,拳头才是硬道理。,0,0.205540268,较为消极
账号已注销,2021/5/22 10:50,每个国家都有好人也有坏人，不过看事也不能忽略宏观，美国确实有好人，但改变不了美国整体反华氛围的事实，巴基斯坦也有坏人，同样改变不了巴基斯坦整体亲华氛围的事实,0,0.999999994,非常积极
听雨说梦-,2021/5/22 3:02,友谊是真谛！！,0,0.946469108,非常积极
账号已注销,2021/5/22 2:10,这期看过,0,0.561856533,中立
l今朝有奶今朝醉l,2021/5/21 23:09,我们有条生命线在他们那里，他们也有条生命线在我们这里，天然的友谊。注定的，喜欢不喜欢也是。所以有些人说话，请婉转一点，少说无益话。,0,0.995913985,非常积极
健哥的bili,2021/5/21 22:25,也不用这样自夸吧  我的天害羞,0,0.612412069,较为积极
尐羊羊,2021/5/21 22:17,小心某些狗装中国人骗巴铁,0,0.693105019,较为积极
愛莉希雅_Elysia_,2021/5/21 22:09,真好，友谊天长地久,0,0.972898285,非常积极
光荣の心Joestar,2021/5/21 21:31,远方的家，这节目可好看了,0,0.86668555,非常积极
活着退休,2021/5/21 20:32,希望有生之年我们公司可以到巴基斯坦搞建设。,0,0.783436878,较为积极
碧海枫林,2021/5/21 19:31,巴铁变巴贴,0,0.902319296,非常积极
saliwen,2021/5/21 19:29,只有永远的利益没有永远的朋友！客观看待少些忽悠！,0,0.518031897,中立
moccadoll,2021/5/24 22:33,怎么了？你就没个好朋友？,0,0.256928246,较为消极
KK家的大财迷,2021/5/21 18:25,大家是互相,0,0.526232782,中立
大抵是有毛病,2021/5/21 18:00,啥时候也去巴基斯坦玩玩？,0,0.926746199,非常积极
糯依依,2021/5/21 18:04,除了巴基斯坦我还想去塞尔维亚，但是还没有直线到塞尔维亚的飞机,0,0.71124054,较为积极
神樂狂三,2021/5/21 22:07,直接去呗，巴基斯坦免签的吧,0,0.405551775,中立
天上的水母,2021/5/21 17:59,我也想合影，记者小哥哥一亿点帅。,0,0.998371263,非常积极
就他末你叫夏洛啊,2021/5/21 17:50,这个视频几年前看过，然后才注意到右上角的时间,0,0.526765804,中立
AXin义马大,2021/5/21 17:49,呵呵,0,0.675540765,较为积极
爷不喜欢猫,2021/5/22 9:51,回复 @AXin义马大 :那难道不应该爱国？,0,0.15413697,非常消极
冷杉领的安蒂缇娜,2021/5/21 21:24,,0,,非常消极
淩茜xi,2021/5/21 17:45,i like you,0,0.25,较为消极
室友哇咔咔,2021/5/21 17:29,阿up主好皮，一看就是老司机，常混B站的吧,0,0.644474688,较为积极
Montgisard,2021/5/21 17:17,印度：是在下输了,0,0.964191015,非常积极
寄红尘,2021/5/21 17:12,,0,,非常消极
清新阳光茶,2021/5/21 17:13,主要是帅,0,0.5,中立
格洛克9mm口径,2021/5/21 17:10,,0,,非常消极
