用户名,时间,内容,点赞量
Zoezzz19,2024-01-17 12:33,所以咱们就是说在巴基斯坦这么穷困挣扎的国家，一个政府官员的宅邸修的如此富丽堂皇，又堂而皇之的邀请外国媒体去拍摄，真真的是一个匪夷所思。,3
蓝蔚海天,2024-01-19 21:51,至少得有个能看的建筑,0
猫生叹气,2024-01-26 20:04,"中国帮助越南, 越南反咬一口那就是白眼狼
中国帮助巴基斯坦, 巴基斯坦群众表现的非常友好就是中国的狗
某些人反正怎么样都能骂起来",2
传说中的贺哥哥,2024-01-07 20:32,就单说这个过路不给钱，自己本国人跟其他国家都要给钱这一点，就已经是非常非常非常高的待遇了，这他么还不是优待是什么，客观存在的事实,1
jtwmr,2024-03-04 13:10,因为中国人在巴基斯坦出事的概率很高，这是巴基斯坦政府很是辣手的问题，只能在一些混乱的区域由安全人员提供保护，并不是什么缘故。,1
西郭先森丶,2024-01-26 13:20,阿富汗的难民，有点难说，因为有一部分是因为当了汗奸，怕被塔利班清算才逃难的，还有一部分是因为害怕塔利班政府逃难的普通民众。,0
谁不想当周jie呢,2024-03-12 16:25,【又有国人在“巴铁”出现人身意外！外国媳妇听闻要去买武器自保！-哔哩哔哩】 又有国人在“巴铁”出现人身意外！外国媳妇听闻要去买武器自保！,1
樱I狼恋,2024-01-07 18:18,希望有靠谱的中介，介绍巴铁的女生嫁过来，国内男生实在太卷了，结婚都怕被骗彩礼 至于宗教原因，至少本人可以妥协。,0
飘过一缕枫,2024-01-10 16:59,去巴铁找媳妇的 还是谨慎吧  本站内也有不少 多搜搜多看看 之前出过很大的事多看看新闻,0
李舜死-,2024-01-24 02:53,一群阿三罢了，没有什么铁不铁大家仁智见仁智者见智，有脑子的人自己会去了解不要听信一些一边倒的媒体宣传巴铁很铁铁你吗,3
老桑家的地主,2024-01-08 11:36,大使馆都提醒你不要去，然后你还是要去。得亏你没出事儿，出事儿了又得麻烦大使馆吧。所以是一个自私的傻叉,2
帅锅歪歪,2024-01-05 22:39,整个南亚都很穷，和非洲半斤八两，只不过人口比非洲密集，人口数量多，综合国力还凑合，普通人生活和非洲差不多,1
老K造物社,2024-01-22 15:14,我爱人做外贸  有过一些巴基斯坦客户  做了几次 坚决不做了  整天只会说好朋友好朋友  但很多都是吹牛皮的骗子,0
香格里拉蓝香肠,2024-01-22 15:59,当地局势不稳，可能某一天打仗了，人们辛辛苦苦工作攒下来的家当会全部被夺走，人们自然也就不会很卖力的工作赚钱了,0
Mr刘先森KT,2024-01-15 13:04,看完UP的视频我深受启发，那么问题来了，要如何才能交到一个巴基斯坦的富二代女朋友呢？,0
jijianm,2024-01-05 23:31,你会对一个对你大方 又变相保护你国家的人不好吗？他们得了好处感谢他们的神，坑你也是坑异教徒 不算罪过。,1
清洛Rainn,2024-03-10 22:33,小李在巴基斯坦四年了，都只能说，不好说不好说。没我们想的那么好，只要你对他没啥好处了，也就普普通通了。,0
馋甜点的奶茶,2024-01-28 18:21,巴基斯坦搞恐袭的组织是在三个国家境内的，伊朗也有，他们想独立建国，在所在地反动，支持者是印美。,0
自古紅色三倍速,2024-01-08 15:37,"09:49
全球不都一样吗？意思是，你在中国努力卷了，就能卷成“马X”“马XX”那样的有钱人？",0
逍遥大神棍,2024-01-09 15:46,巴基斯坦对中国唯一的好处就是石油，可是我加的汽油8元多，所以巴铁在™的铁也是扯淡。。。。。。,1
另一个草薙,2024-01-09 17:08,巴基斯坦 有石油卖给我国吗？我记得  我国进口石油  的前十国家没有巴基斯坦吧,1
大少年小沧桑,2024-02-07 20:19,站在美国这边没什么，这点军迷界的多少知道点。你不能强求一个小国硬战队，中立对小国是最好的选择,0
就爱鬼畜,2024-01-11 17:59,视频里基本没什么女性露面，巴基斯坦的男女地位差距也跟印度一样吧，毕竟过去这两是一家，男尊女卑,0
聪明小能猫,2024-01-14 08:58,美国用印度牵制中国，中国需要巴基斯坦牵制印度，就是这么一层简单的政治关系，别加戏了各位。,1
hirowl,2024-01-07 22:18,很佩服你们这些敢去一些争议国家的冒险者，很羡慕，但是作为女性是绝对不敢单身去这些国家的。,1
小至有尊宝,2024-01-10 00:05,有没有发现up除了专门拍摄女性之外他们接上一个女性都没有，拍的街景全是男的，没有一个女的,0
昆虫单于可汉大帝,2024-01-07 02:33,造谣中巴友谊的基本都是台独，港独，公知，二狗子，还有被洗脑没有脑子的人，中巴友谊万岁。,1
暖栀山雾,2024-05-28 15:51,你说的可不只是你所看到的，更多的是你主观的一些臆想，你把所有对你的好都和利益扯上关系了,0
画祤,2024-03-05 13:39,巴基斯坦比较属于小国亲美搞好关系又没啥问题，美国这个吊国什么状态谁还不清楚，没事找事。,0
聚光灯之下的祝福,2024-03-05 16:31,国际关系本来就是多样化，比如印度更我们关系差却和俄罗斯关系好,0
疯疯更健康,2024-01-15 11:20,这标题瞬间没有看内容的兴趣了，虽然看评论好像内容不是这么一回事，但是标题党自己选的路嘛,0
心理镜面,2024-01-07 12:55,中国人在巴基斯坦会得到相对应的优待但不是对所有中国人全面展开优待政策的照顾~,1
Makise丨kuris,2024-01-08 14:44,抗印？不存在的，两个发展中国家本身并没有深仇大恨，因为青藏高原存在，印度那边进攻中国很难。可以的话中印更想当个友好邻邦。不过巴基斯坦是得依靠中国的,1
小小悟龟,2024-02-19 04:29,因为我们强 如果弱了 你看看还会有几个国家和你铁  和做人一样 有钱朋友就和你铁！,0
___XionGJialE---,2024-01-24 09:49,"印度：听说隔壁跟中国很铁？让我看看这么个事！
（一顿挨揍后）
印度：还真是。。。",0
传说中的贺哥哥,2024-01-07 20:48,"这个也是AK47,上面车上那个还是AK47，只要是枪就他么给我叫AK47",0
小冄魂,2024-03-28 11:13,关键不稳定，稳定才能有人去旅游，谁也不会冒着生命危险去，希望能尽快处理掉反对派,0
Damonmo1,2024-01-19 11:21,您好博主，我司的返点辛苦给安排下，一直不回复微信也没法解决呀，我们会一直跟进。,0
良の助理,2024-01-10 11:50,他们那边的新闻联播 也是说咱们好吧  一阵一阵的  亲美  亲日的时候也一样,1
GoldenWitch贝阿朵,2024-01-07 18:56,伊斯兰国家总让我感觉和现在的现代化国家格格不入，就像大清搞什么洋务运动一样。,1
玉米独尊,2024-01-05 22:22,我一开始真以为那个富二代是喜欢你哈哈，谁让你那么帅呢,1
Damonmo1,2024-01-19 11:22,您好博主，我司的返点辛苦给安排下，一直不回复微信也没法解决呀，我们会一直跟进,0
阿狸573993580,2024-01-18 13:44,恐怖袭击不一定是白沙瓦的反对派，很有可能是啤卢之解放军（国际认定的恐怖组织）,0
Sbeusv,2024-01-29 15:30,别忘记了本.拉登就是巴基斯坦的人吧，虽然他搞霉国，但是不可否认还是恐怖分子,0
Sbeusv,2024-01-29 15:33,所以在外还是要小心,0
只爱我家宝贝,2024-01-24 17:26,我仔细看了下UP主这期视频，街上真的很少或者几乎没有女人，宗教真的太可怕了,0
si1verrain,2024-01-17 01:21,"不管怎样都要保护要自己哪都有好人和坏人不是,除了中国没有再更安全的地方了",1
血腥乄瑪麗,2024-01-08 16:43,感觉这种无条件的信任会被人利用，被恐怖分子利用，带去他家或者作坊然后遇害,0
没意思退了,2024-04-04 19:54,有贫富差距很正常，如果有钱人都得靠武装保护自己，那普通人肯定更不好过，,0
o909o909321,2024-01-07 12:23,除了石油土豪国家外其他的伊斯兰国家经济社会方面总体上跟新疆比怎么样啊？,0
目目佳瞿,2024-04-11 22:41,不愧是b战给我推那么高质量的视频，看这些长视频总比女人扭屁股好看多了,0
蓝纹环带章鱼,2024-01-07 01:24,把我带着去他们村  一群人拿着AK  我吓都吓死了,1
疯狂不是堕落,2024-01-16 23:11,哥，最大的贫民窟在阿三孟买，你去哪里瞅瞅你就知道那个最大了,0
蓝蔚海天,2024-01-19 21:51,在孟加拉国的达卡,0
遇到高手就跑,2024-01-08 03:27,巴基斯坦对中国已经很不错了，去日韩的都知道 不歧视你都属于走大运了,0
我和太阳有个约定,2024-01-05 19:37,巴渣倒是听过，从没有听说过巴铁，跟阿三一个德行,6
风薰夏记忆,2024-01-07 11:00,"国家强大了朋友自然也就多了,甚至还可以养狗,比如漂亮国",2
cx233,2024-02-06 20:59,社交就是利益场，真诚与利益也不冲突，就看吃相好不好,0
东风破晓,2024-01-12 22:01,反正正确理性的看待吧，就别传别信什么中巴友好写入宪法的什么玩意,0
狼与基尔克,2024-03-17 13:20,说实话还是先别去了，没出事还好，出了事就得被国内外的网友声讨,1
椰绒_Yael,2024-01-22 09:56,当地也很怕中国人出事，产生国家之间的矛盾，所以派人持枪保护,0
迷之漆黑魔导师,2024-03-26 19:17,就是1979年美驻伊朗大使馆被占那件事，有可能被复刻一手,0
BSXRB,2024-01-16 19:46,为什么整个视频基本看不到女性，巴基斯坦女性都不让上街么？,0
Omni-Man,2024-01-15 04:20,01:01 大胡子的眼神爱上了UP噜,0
沃颂谝琪迪痕,2024-01-09 21:14,我有个好奇的疑问，巴基斯坦对中国的穆斯林是怎么对待的呢,0
夏目jz,2024-02-27 12:35,换位思考吧，别人本来就不容易，有些国人还是少占点便宜,2
杜鹤影Elio,2024-01-10 23:47,"啊，好想问问，
巴基斯坦的男生会不会追中国的男生啊？",1
yejiehong2018,2024-01-07 18:34,那些说巴铁是吹出来的，是互联网造谣出来的请出来走走走,1
815小日子寄快递,2024-05-20 00:09,伊斯兰世界好像对gay是很反感的up你多虑了,0
TyranT0088,2024-01-11 19:02,没有遇到喜欢你的男孩子还挺失望！没事B站GAY多！,1
伍六柒大虾,2024-01-07 22:07,这一切的开始还得回到62年中国狠狠的捶了阿三那一次,1
等待小男孩的小胖子,2024-01-06 16:50,巴基斯坦有些对中国人不好的，大多是阿三那边扶持的。,0
暴走兄弟,2024-01-07 13:09,我的巴铁富二代天天给我打电话，要找女朋友,17
气运貔貅,2024-01-11 01:55,我看过在巴基斯坦那边的UP卓越，他在那边遇到个国人大姐在巴基斯坦好些年头了谈了个巴基斯坦男友有一期就大吐苦水说别嫁巴基斯坦男的，那边像以前的中国，家里父母决定一切做儿子的巨听父母的话全部围着父母转女方巨委屈不知道富人级别会不会开明一点,1
sammo,2024-01-07 17:47,穷的时候跟你铁 才是真的铁 发达了就不那么存粹了,1
bili_36472970344,2024-01-29 10:35,世界最大平民窟不是印度的达拉维平民窟么？,0
她的昵称违规,2024-01-10 14:05,我发现，中国好像是唯一打遍了地球上所有国家的国家,0
盛世肥啵啵啵啵啵,2024-01-07 19:52,这不比找个旮旯角找个外国人假装拍自己出国了真实么,0
润涵秋,2024-01-07 17:46,为什么巴基斯坦满大街男人，很少看到巴基斯坦女人？,0
放荡的西瓜,2024-01-11 20:59,宗教国家怎么可能靠得住，随便扔个神出来推到一切,2
却又是多啦,2024-01-27 02:23,一带一路挑战很大啊。稍不注意边境就把枪带过来了,0
云端的日子F,2024-01-16 16:42,就记住一点，不管是中国还是巴基斯坦，都是群体。,0
自己吃瓜,2024-04-28 23:16,"笔记
还是多搜索一下近年中国人在巴基斯坦死亡了多少吧",4
种猪佩奇か,2024-01-06 23:05,看了这些 我只能是 国家禁枪禁对了,0
黑格の提姆,2024-02-01 18:09,我是Gay，表示真的蛮喜欢up的,0
zzjwishI,2024-01-12 13:44,富二代营养过剩了，带上帽子以为45了,0
小老弟刺激吗,2024-01-10 23:27,不是，真有人不知道巴基斯坦是铁杆美系国家吗？,0
闪光暗杀者光头菌,2024-01-07 14:03,视频里得巴基斯坦人看面相我就知道谁善良谁狡诈,0
卖豆豆的豆豆,2024-04-13 15:23,"笔记
在沙特，一位素不相识的巴基斯坦人让我看的",11
是叶子真的苟,2024-01-07 19:38,29分28秒，那小子怎么竖中指呢？不学好！,1
哎果子,2024-04-05 23:23,不要求优待，这样屁股就歪了，我们要人人平等,0
弥度密,2024-01-07 18:49,谁天天给我这给我那的我也认他做大哥,0
俏旦,2024-03-24 23:51,你怎么在我左边讲话吖,0
暖暖小猫,2024-05-17 17:48,别介绍了，怕出问题的，那边还是很传统的,0
我开的车os,2024-01-14 16:06,没别的我被封面那个帅哥吸进来了,0
Dふ也,2024-01-09 01:24,我要是能死在那样的事情里，倒是种幸福。,0
手铳重卫士,2024-02-16 17:36,核心拷问：你到底是普通游客还是媒体？,1
账号已注销,2024-03-09 20:13,大家一定要知道这个爆走兄弟是个烂人。,0
咸鱼sama丶,2024-02-01 00:18,国内找不到老婆 国外有啊,0
一卜门心,2024-01-12 17:26,你的巴基斯坦朋友看到这条视频会伤心的,0
肉干海魂衫,2024-01-07 12:46,怎么觉得这个声音好小啊？,0
达拉崩吧怎么了,2024-01-05 21:13,这么说呢，你天天管着我吃喝，我也铁,6
bilibili鬼畜小王,2024-01-08 16:40,地缘zz罢了，钳制印需要这么个国家,1
火锅是个噪音机,2024-02-07 17:57,要不找个巴基斯坦老婆？,0
suniceball,2024-01-07 20:40,没有无缘无故的好也没有无缘无故的恨,0
duo弗朗明哥,2024-01-19 17:10,不是什么铁 只是有合作 误导不好,1
我永远讨厌政治,2024-05-21 13:22,弹幕吵什么...毛病,1
34743692720_bili,2024-01-11 19:35,当一个友好国家就好了，别那么吹,1
承栗,2024-05-12 23:50,千万不能去巴基斯坦的南部地区。,0
家有父母妻儿,2024-03-24 21:49,对的 没有永远的朋友 只有利益,0
光子のパンツ,2024-02-12 07:09,咋就矛盾了，思维明显跟不上年龄,0
肖鱼儿上钩了,2024-01-07 00:32,我觉得伊拉克人对中国人更加友好,0
魔之右手,2024-02-17 12:37,巴基斯坦=绿色 三哥,0
比亚迪外星人建交,2024-01-07 20:57,明白了，反对派对中国人不友好,0
该账号已注销8f6Vk,2024-02-05 17:00,相当于美国人去日本,0
三倍速-红色闪电,2024-02-01 23:18,下一站去古巴吧,0
説吾名逗汝笑,2024-01-06 03:34,想找个巴基斯坦老婆诶。。。,0
小枣秀夫,2024-01-16 19:44,自己还顾不过来了还顾别人,2
小小悟龟,2024-02-19 04:39,文案一般 磕磕绊绊的感觉,0
小小悟龟,2024-02-19 04:42,提词器位置不好 老斜眼瞄 在加上文案不行 就感觉很不好！小小建议,0
牟暖暖,2024-01-12 06:34,有钱在大部分地方都受欢迎,0
马督农,2024-01-11 17:28,感觉up有点帅是怎么回事,0
浪迹天使love,2024-01-09 18:20,我国内混明白，再考虑出国,0
无名的钟摆,2024-04-30 00:41,笔记,2
skmsuny,2024-01-09 16:36,论迹不论心，论心无完人,2
此心最潇瑶,2024-01-14 12:56,两个字 有利益就会友好,1
DONGBEI-CITY,2024-01-07 21:53,巴基斯坦一般都想去美国,1
云淡风舒,2024-01-27 02:36,希望他们会有更好的生活,0
7xkxk7k,2024-02-17 20:38,为什么都是男的啊……,0
秦寿pku,2024-01-09 20:23,能不能发一下上衣链接,0
颜月无颜,2024-01-10 17:29,铁个锤子，别骗人了,0
搬砖勇士-dp,2024-01-09 05:25,真不是因为核武器吗,0
东南小企鹅,2024-01-07 20:21,你给我钱养我我也铁,0
zhanghenganbang,2024-02-11 21:57,你有钱就好😂😂😂,0
熟果子一枚,2024-01-07 20:11,很有意思的视频！,0
工号1308,2024-01-09 19:53,中巴友谊万岁！,1
张三金的金渐层,2024-01-08 13:57,拉皮条多吧……,1
komi酱imok,2024-04-28 06:04,做得好好好用心,0
是BY啊,2024-01-21 15:25,当阿三看就行了,0
炉石标准上分,2024-01-08 14:25,应该没有那么好,0
陆东鹏,2024-01-23 15:10,因为钱给的多,0
十里庙的,2024-01-07 21:27,希望能好起来,0
w大马猴子,2024-05-24 23:50,太牛逼了！,0
喃喃低语何以解忧,2024-02-06 12:43,愿世界和平,0
无聊哩哩哩,2024-02-03 23:16,绿色阿三。,0
沈阳汇中宝,2024-01-15 15:59,废话好多啊,0
阿克塞尔like,2024-01-14 21:00,你还敢去吗,0
爱好逍遥,2024-01-07 21:11,很好的视频,0
冷冷的风啊吹不动,2024-01-07 16:50,首页通知书,0
北海旧城,2024-03-26 18:41,呃呃呃,0
我是小小小小猪,2024-02-02 22:52,不错哦,0
xQc114514,2024-03-29 06:50,幽默,10
起源烯,2024-01-05 19:02,第一,1
小小马拉大车,2024-04-24 01:08,假的,0
有礼走天下,2024-01-22 15:33,👌🏻,0
老大很幸福,2024-01-14 16:26,谢谢,0
夜中邀客,2024-01-08 13:58,hy,0
吊顶了没,2024-05-26 09:00,牛,0
